source_path,plan_label,beam_number,beam_name,control_point_index,gantry_angle_deg,axial_position_mm,cumulative_meterset_weight,dose_rate_mu_per_min,jaw_x1_mm,jaw_x2_mm,jaw_y1_mm,jaw_y2_mm,delta_gantry_deg,delta_axial_mm,delta_cumulative_meterset_weight,aperture_width_mm
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,0,0.0,-60.25,0.0,1400.0,-150.0,150.0,-150.0,150.0,,,,21.8475
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,1,356.0,-60.620368958,0.0028959915263,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0028959915263,29.245599999999996
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,2,352.0,-60.990737915,0.0058952584935,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0029992669671999998,40.6444
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,3,348.0,-61.361106873,0.0088914249694,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0029961664758999997,37.3321
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,4,344.0,-61.73147583,0.01194784894,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689570000037,0.0030564239706000005,38.941
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,5,340.0,-62.101844788,0.014825706311,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.002877857370999999,48.5957
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,6,336.0,-62.472213745,0.017387271499,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.002561565188000001,27.1
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,7,332.0,-62.842582703,0.02007782621,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0026905547109999997,33.4764
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,8,328.0,-63.21295166,0.022751229767,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689570000037,0.0026734035569999995,27.8171
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,9,324.0,-63.583320618,0.025336834127,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0025856043600000003,25.6791
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,10,320.0,-63.953689575,0.027842504819,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0025056706920000005,27.739199999999993
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,11,316.0,-64.324058533,0.030396730267,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0025542254479999985,34.127500000000005
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,12,312.0,-64.69442749,0.032964953343,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.002568223076000003,27.9071
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,13,308.0,-65.064796447754,0.035452602506,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895775401035,0.002487649162999997,27.114099999999997
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,14,304.0,-65.435155869,0.037820246467,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703594212459933,0.0023676439610000044,28.619300000000006
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,15,300.0,-65.805524826,0.04010195177,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.002281705302999995,25.086999999999996
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,16,296.0,-66.175893784,0.042341817204,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.002239865434000003,26.670500000000004
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,17,292.0,-66.546262741,0.044582150058,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689570000108,0.0022403328540000003,36.46670000000001
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,18,288.0,-66.916631699,0.046866393027,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.002284242968999997,41.7072
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,19,284.0,-67.287000656128,0.049291061402,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689571279938,0.002424668375000001,43.8885
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,20,280.0,-67.657369614,0.051639967996,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689578720031,0.002348906594,43.58839999999999
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,21,276.0,-68.027738571167,0.053869907407,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689571670026,0.002229939410999998,44.5118
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,22,272.0,-68.398107529,0.055890617754,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689578329943,0.002020710347,37.3736
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,23,268.0,-68.768476486,0.057856964497,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0019663467430000026,38.0073
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,24,264.0,-69.138845444,0.059989518395,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.002132553897999996,43.623400000000004
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,25,260.0,-69.509214401,0.062217368967,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0022278505720000064,48.245900000000006
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,26,256.0,-69.879583359,0.06431069534,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0020933263729999985,75.366
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,27,252.0,-70.249952316,0.066242934086,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689570000108,0.0019322387460000007,68.7684
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,28,248.0,-70.620321274,0.068185106323,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.001942172236999995,96.54180000000001
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,29,244.0,-70.990690231,0.070102267361,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0019171610380000065,91.23819999999999
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,30,240.0,-71.361059189,0.071963018018,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0018607506569999904,96.52
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,31,236.0,-71.731428146,0.073780913649,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0018178956310000022,52.5293
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,32,232.0,-72.101797104,0.075678962559,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0018980489100000053,38.633799999999994
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,33,228.0,-72.472166061,0.077595163913,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0019162013540000022,41.4347
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,34,224.0,-72.842535018921,0.079434731893,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689579210021,0.001839567979999998,43.416399999999996
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,35,220.0,-73.212903976,0.081309891209,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895707900896,0.0018751593159999913,37.10979999999999
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,36,216.0,-73.58327293396,0.083166017648,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689579599967,0.0018561264390000026,34.1214
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,37,212.0,-73.953641891,0.085256392579,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895704000017,0.0020903749310000053,33.266799999999996
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,38,208.0,-74.324010849,0.08753343922,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.002277046640999994,33.3102
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,39,204.0,-74.694379807,0.089853289985,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.002319850765000006,36.9626
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,40,200.0,-75.064748764,0.092096108994,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.002242819009000002,31.242700000000003
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,41,196.0,-75.435117722,0.094156718964,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.002060609970000002,32.6661
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,42,192.0,-75.805486679,0.09616075472134,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0020040357573399975,36.868300000000005
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,43,188.0,-76.175855637,0.098246177158,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0020854224366600033,37.7765
